Date,Product,Units_Sold,Unit_Price,Region,Salesperson,Revenue,Month
2024-01-01,Headphones,34.0,79,Unknown,Alice,2686.0,2024-01
2024-01-03,Charger,6.0,19,West,Alice,114.0,2024-01
2024-01-05,Tablet,22.0,79,West,Bob,1738.0,2024-01
2024-01-07,Charger,11.0,19,West,Unknown,209.0,2024-01
2024-01-09,Charger,48.0,79,East,Bob,3792.0,2024-01
2024-01-11,Phone,16.0,299,Unknown,Alice,4784.0,2024-01
2024-01-13,Tablet,33.0,79,West,Bob,2607.0,2024-01
2024-01-15,Tablet,9.0,19,East,Alice,171.0,2024-01
2024-01-17,Tablet,6.0,499,South,Bob,2994.0,2024-01
2024-01-19,Charger,16.0,79,South,Alice,1264.0,2024-01
2024-01-21,Headphones,29.0,499,East,Alice,14471.0,2024-01
2024-01-23,Tablet,3.0,299,East,Alice,897.0,2024-01
2024-01-25,Laptop,20.0,999,Unknown,Unknown,19980.0,2024-01
2024-01-27,Phone,36.0,299,Unknown,Bob,10764.0,2024-01
2024-01-29,Laptop,19.0,79,South,Bob,1501.0,2024-01
2024-01-31,Phone,31.5,499,West,Bob,15718.5,2024-01
2024-02-02,Headphones,3.0,499,South,Alice,1497.0,2024-02
2024-02-04,Charger,19.0,19,West,Bob,361.0,2024-02
2024-02-06,Laptop,20.0,499,West,Bob,9980.0,2024-02
2024-02-08,Headphones,32.0,19,Unknown,Alice,608.0,2024-02
2024-02-10,Phone,7.0,999,North,Charlie,6993.0,2024-02
2024-02-12,Charger,41.0,79,North,Alice,3239.0,2024-02
2024-02-14,Headphones,33.0,19,East,Bob,627.0,2024-02
2024-02-16,Laptop,40.0,999,Unknown,Alice,39960.0,2024-02
2024-02-18,Laptop,39.0,499,West,Charlie,19461.0,2024-02
2024-02-20,Tablet,18.0,499,North,Alice,8982.0,2024-02
2024-02-22,Tablet,40.0,999,West,Bob,39960.0,2024-02
2024-02-24,Phone,1.0,499,North,Charlie,499.0,2024-02
2024-02-26,Headphones,11.0,999,North,Unknown,10989.0,2024-02
2024-02-28,Headphones,28.0,19,North,Bob,532.0,2024-02
2024-03-01,Tablet,25.0,19,Unknown,Charlie,475.0,2024-03
2024-03-03,Headphones,23.0,999,South,Charlie,22977.0,2024-03
2024-03-05,Headphones,31.0,19,West,Unknown,589.0,2024-03
2024-03-07,Laptop,30.0,19,Unknown,Alice,570.0,2024-03
2024-03-09,Tablet,42.0,19,Unknown,Alice,798.0,2024-03
2024-03-11,Charger,35.0,299,Unknown,Bob,10465.0,2024-03
2024-03-13,Tablet,7.0,79,Unknown,Unknown,553.0,2024-03
2024-03-15,Charger,16.0,499,Unknown,Alice,7984.0,2024-03
2024-03-17,Laptop,26.0,299,East,Unknown,7774.0,2024-03
2024-03-19,Phone,48.0,19,West,Alice,912.0,2024-03
2024-03-21,Headphones,27.5,999,Unknown,Charlie,27472.5,2024-03
2024-03-23,Laptop,2.0,19,West,Alice,38.0,2024-03
2024-03-25,Headphones,1.0,79,East,Unknown,79.0,2024-03
2024-03-27,Phone,48.0,19,East,Charlie,912.0,2024-03
2024-03-29,Phone,12.0,999,West,Charlie,11988.0,2024-03
2024-03-31,Laptop,5.0,79,North,Charlie,395.0,2024-03
2024-04-02,Phone,37.0,19,South,Unknown,703.0,2024-04
2024-04-04,Charger,33.0,79,North,Bob,2607.0,2024-04
2024-04-06,Phone,9.0,499,North,Bob,4491.0,2024-04
2024-04-08,Headphones,27.5,499,North,Bob,13722.5,2024-04
2024-04-10,Headphones,35.0,19,Unknown,Unknown,665.0,2024-04
2024-04-12,Headphones,19.0,79,East,Charlie,1501.0,2024-04
2024-04-14,Headphones,48.0,999,North,Bob,47952.0,2024-04
2024-04-16,Charger,16.0,19,East,Unknown,304.0,2024-04
2024-04-18,Tablet,3.0,499,West,Bob,1497.0,2024-04
2024-04-20,Laptop,20.0,499,South,Alice,9980.0,2024-04
2024-04-22,Headphones,24.0,19,West,Bob,456.0,2024-04
2024-04-24,Phone,31.5,79,West,Bob,2488.5,2024-04
2024-04-26,Headphones,24.0,499,Unknown,Charlie,11976.0,2024-04
2024-04-28,Phone,11.0,79,South,Unknown,869.0,2024-04
2024-04-30,Phone,49.0,499,West,Charlie,24451.0,2024-04
2024-05-02,Headphones,8.0,499,West,Charlie,3992.0,2024-05
2024-05-04,Charger,36.0,299,South,Charlie,10764.0,2024-05
2024-05-06,Phone,38.0,499,South,Charlie,18962.0,2024-05
2024-05-08,Phone,40.0,999,West,Charlie,39960.0,2024-05
2024-05-10,Headphones,20.0,19,South,Bob,380.0,2024-05
2024-05-12,Phone,35.0,19,West,Charlie,665.0,2024-05
2024-05-14,Phone,48.0,79,West,Charlie,3792.0,2024-05
2024-05-16,Headphones,25.0,499,Unknown,Unknown,12475.0,2024-05
2024-05-18,Headphones,35.0,999,North,Alice,34965.0,2024-05
2024-05-20,Laptop,25.0,79,West,Bob,1975.0,2024-05
2024-05-22,Charger,29.0,299,East,Bob,8671.0,2024-05
2024-05-24,Charger,18.0,79,North,Bob,1422.0,2024-05
2024-05-26,Phone,46.0,79,North,Charlie,3634.0,2024-05
2024-05-28,Laptop,18.0,499,North,Charlie,8982.0,2024-05
2024-05-30,Phone,2.0,299,Unknown,Charlie,598.0,2024-05
2024-06-01,Laptop,35.0,79,West,Unknown,2765.0,2024-06
2024-06-03,Headphones,16.0,999,Unknown,Alice,15984.0,2024-06
2024-06-05,Headphones,41.0,999,West,Charlie,40959.0,2024-06
2024-06-07,Headphones,36.0,19,Unknown,Alice,684.0,2024-06
2024-06-09,Charger,33.0,299,Unknown,Unknown,9867.0,2024-06
2024-06-11,Laptop,4.0,299,East,Bob,1196.0,2024-06
2024-06-13,Laptop,33.0,19,Unknown,Charlie,627.0,2024-06
2024-06-15,Charger,14.0,79,South,Alice,1106.0,2024-06
2024-06-17,Laptop,21.0,299,East,Alice,6279.0,2024-06
2024-06-19,Laptop,48.0,999,Unknown,Charlie,47952.0,2024-06
2024-06-21,Laptop,25.0,999,North,Bob,24975.0,2024-06
2024-06-23,Laptop,8.0,499,South,Bob,3992.0,2024-06
2024-06-25,Headphones,7.0,299,South,Bob,2093.0,2024-06
2024-06-27,Tablet,3.0,79,South,Unknown,237.0,2024-06
2024-06-29,Tablet,17.0,19,East,Alice,323.0,2024-06
2024-07-01,Laptop,33.0,19,Unknown,Alice,627.0,2024-07
2024-07-03,Tablet,48.0,79,Unknown,Alice,3792.0,2024-07
2024-07-05,Tablet,12.0,499,North,Unknown,5988.0,2024-07
2024-07-07,Laptop,22.0,19,North,Alice,418.0,2024-07
2024-07-09,Tablet,22.0,299,South,Unknown,6578.0,2024-07
2024-07-11,Charger,46.0,499,North,Bob,22954.0,2024-07
2024-07-13,Phone,30.0,299,East,Charlie,8970.0,2024-07
2024-07-15,Phone,38.0,999,Unknown,Alice,37962.0,2024-07
2024-07-17,Laptop,38.0,499,South,Alice,18962.0,2024-07
2024-07-19,Headphones,45.0,19,North,Bob,855.0,2024-07
2024-07-21,Laptop,8.0,499,East,Charlie,3992.0,2024-07
2024-07-23,Headphones,27.0,499,East,Unknown,13473.0,2024-07
2024-07-25,Phone,27.0,499,North,Charlie,13473.0,2024-07
2024-07-27,Laptop,34.0,499,Unknown,Bob,16966.0,2024-07
2024-07-29,Charger,21.0,299,North,Bob,6279.0,2024-07
2024-07-31,Tablet,30.0,999,South,Charlie,29970.0,2024-07
2024-08-02,Headphones,33.0,79,North,Unknown,2607.0,2024-08
2024-08-04,Tablet,28.0,499,East,Unknown,13972.0,2024-08
2024-08-06,Tablet,47.0,19,North,Alice,893.0,2024-08
2024-08-08,Laptop,33.0,499,Unknown,Unknown,16467.0,2024-08
2024-08-10,Tablet,5.0,19,West,Charlie,95.0,2024-08
2024-08-12,Charger,48.0,299,North,Bob,14352.0,2024-08
2024-08-14,Tablet,19.0,19,Unknown,Alice,361.0,2024-08
2024-08-16,Laptop,4.0,79,Unknown,Alice,316.0,2024-08
2024-08-18,Charger,35.0,999,East,Bob,34965.0,2024-08
2024-08-20,Phone,49.0,19,Unknown,Unknown,931.0,2024-08
2024-08-22,Tablet,17.0,19,Unknown,Bob,323.0,2024-08
2024-08-24,Laptop,44.0,999,Unknown,Unknown,43956.0,2024-08
2024-08-26,Phone,28.0,79,Unknown,Bob,2212.0,2024-08
2024-08-28,Phone,31.5,499,South,Charlie,15718.5,2024-08
2024-08-30,Headphones,29.0,19,South,Unknown,551.0,2024-08
2024-09-01,Charger,46.0,999,East,Charlie,45954.0,2024-09
2024-09-03,Tablet,22.0,299,North,Alice,6578.0,2024-09
2024-09-05,Laptop,35.0,999,Unknown,Bob,34965.0,2024-09
2024-09-07,Headphones,41.0,299,North,Alice,12259.0,2024-09
2024-09-09,Charger,37.0,79,North,Alice,2923.0,2024-09
2024-09-11,Headphones,27.5,499,East,Alice,13722.5,2024-09
2024-09-13,Charger,29.0,999,Unknown,Alice,28971.0,2024-09
2024-09-15,Charger,49.0,19,Unknown,Bob,931.0,2024-09
2024-09-17,Tablet,46.0,79,West,Alice,3634.0,2024-09
2024-09-19,Charger,31.0,999,North,Bob,30969.0,2024-09
2024-09-21,Headphones,35.0,19,North,Bob,665.0,2024-09
2024-09-23,Charger,33.0,999,South,Charlie,32967.0,2024-09
2024-09-25,Tablet,22.0,299,West,Unknown,6578.0,2024-09
2024-09-27,Tablet,32.0,999,South,Unknown,31968.0,2024-09
2024-09-29,Headphones,23.0,999,South,Bob,22977.0,2024-09
2024-10-01,Phone,33.0,999,South,Charlie,32967.0,2024-10
2024-10-03,Phone,3.0,79,East,Bob,237.0,2024-10
2024-10-05,Charger,18.0,999,East,Bob,17982.0,2024-10
2024-10-07,Laptop,25.0,19,South,Bob,475.0,2024-10
2024-10-09,Charger,42.0,299,West,Charlie,12558.0,2024-10
2024-10-11,Headphones,31.0,299,North,Unknown,9269.0,2024-10
2024-10-13,Headphones,3.0,999,West,Charlie,2997.0,2024-10
2024-10-15,Headphones,27.5,79,Unknown,Alice,2172.5,2024-10
2024-10-17,Headphones,46.0,79,East,Charlie,3634.0,2024-10
2024-10-19,Headphones,24.0,19,North,Charlie,456.0,2024-10
2024-10-21,Tablet,32.0,999,North,Charlie,31968.0,2024-10
2024-10-23,Phone,47.0,299,Unknown,Charlie,14053.0,2024-10
2024-10-25,Headphones,22.0,79,Unknown,Unknown,1738.0,2024-10
2024-10-27,Laptop,23.0,999,South,Alice,22977.0,2024-10
2024-10-29,Laptop,2.0,79,East,Unknown,158.0,2024-10
2024-10-31,Laptop,27.0,79,East,Unknown,2133.0,2024-10
2024-11-02,Laptop,42.0,299,West,Charlie,12558.0,2024-11
2024-11-04,Tablet,2.0,499,South,Bob,998.0,2024-11
2024-11-06,Laptop,26.0,19,South,Bob,494.0,2024-11
2024-11-08,Headphones,17.0,19,South,Unknown,323.0,2024-11
2024-11-10,Charger,40.0,299,South,Unknown,11960.0,2024-11
2024-11-12,Laptop,33.0,79,East,Charlie,2607.0,2024-11
2024-11-14,Tablet,9.0,999,East,Unknown,8991.0,2024-11
2024-11-16,Tablet,43.0,79,South,Charlie,3397.0,2024-11
2024-11-18,Laptop,48.0,299,West,Bob,14352.0,2024-11
2024-11-20,Charger,39.0,19,North,Bob,741.0,2024-11
2024-11-22,Laptop,29.0,79,North,Alice,2291.0,2024-11
2024-11-24,Tablet,42.0,19,West,Bob,798.0,2024-11
2024-11-26,Phone,26.0,999,South,Unknown,25974.0,2024-11
2024-11-28,Headphones,35.0,19,East,Bob,665.0,2024-11
2024-11-30,Tablet,25.0,19,North,Charlie,475.0,2024-11
2024-12-02,Laptop,24.0,499,Unknown,Bob,11976.0,2024-12
2024-12-04,Headphones,13.0,499,Unknown,Alice,6487.0,2024-12
2024-12-06,Laptop,7.0,499,West,Bob,3493.0,2024-12
2024-12-08,Laptop,36.0,19,South,Charlie,684.0,2024-12
2024-12-10,Phone,45.0,299,North,Charlie,13455.0,2024-12
2024-12-12,Headphones,20.0,19,South,Unknown,380.0,2024-12
2024-12-14,Headphones,1.0,299,North,Bob,299.0,2024-12
2024-12-16,Phone,8.0,299,West,Charlie,2392.0,2024-12
2024-12-18,Tablet,46.0,499,West,Alice,22954.0,2024-12
2024-12-20,Laptop,16.0,79,Unknown,Unknown,1264.0,2024-12
2024-12-22,Charger,14.0,999,South,Alice,13986.0,2024-12
2024-12-24,Laptop,12.0,499,Unknown,Bob,5988.0,2024-12
2024-12-26,Laptop,25.0,499,South,Bob,12475.0,2024-12
2024-12-28,Tablet,15.0,79,Unknown,Bob,1185.0,2024-12
2024-12-30,Laptop,28.0,999,East,Unknown,27972.0,2024-12
2025-01-01,Phone,34.0,19,East,Charlie,646.0,2025-01
2025-01-03,Phone,2.0,19,East,Unknown,38.0,2025-01
2025-01-05,Headphones,32.0,499,East,Alice,15968.0,2025-01
2025-01-07,Charger,23.0,999,North,Unknown,22977.0,2025-01
2025-01-09,Laptop,22.0,499,East,Alice,10978.0,2025-01
2025-01-11,Laptop,25.0,299,West,Unknown,7475.0,2025-01
2025-01-13,Tablet,22.0,499,West,Charlie,10978.0,2025-01
2025-01-15,Phone,22.0,499,North,Alice,10978.0,2025-01
2025-01-17,Charger,49.0,19,East,Bob,931.0,2025-01
2025-01-19,Headphones,42.0,19,East,Bob,798.0,2025-01
2025-01-21,Phone,6.0,19,East,Unknown,114.0,2025-01
2025-01-23,Laptop,15.0,299,Unknown,Bob,4485.0,2025-01
2025-01-25,Tablet,43.0,19,South,Alice,817.0,2025-01
2025-01-27,Tablet,37.0,999,Unknown,Bob,36963.0,2025-01
2025-01-29,Laptop,33.0,79,South,Charlie,2607.0,2025-01
2025-01-31,Charger,33.0,999,East,Charlie,32967.0,2025-01
2025-02-02,Headphones,27.5,999,East,Unknown,27472.5,2025-02
