Date,Product,Units_Sold,Unit_Price,Region,Salesperson
2024-01-01,Headphones,34.0,79,,Alice
2024-01-03,Charger,6.0,19,West,Alice
2024-01-05,Tablet,22.0,79,West,Bob
2024-01-07,Charger,11.0,19,West,
2024-01-09,Charger,48.0,79,East,Bob
2024-01-11,Phone,16.0,299,,Alice
2024-01-13,Tablet,33.0,79,West,Bob
2024-01-15,Tablet,9.0,19,East,Alice
2024-01-17,Tablet,6.0,499,South,Bob
2024-01-19,Charger,16.0,79,South,Alice
2024-01-21,Headphones,29.0,499,East,Alice
2024-01-23,Tablet,3.0,299,East,Alice
2024-01-25,laptop,20.0,999,,
2024-01-27,Phone,36.0,299,,Bob
2024-01-29,laptop,19.0,79,South,Bob
2024-01-31,Phone,,499,West,Bob
2024-02-02,Headphones,3.0,499,South,Alice
2024-02-04,Charger,19.0,19,West,Bob
2024-02-06,Laptop,20.0,499,West,Bob
2024-02-08,Headphones,32.0,19,,Alice
2024-02-10,Phone,7.0,999,North,Charlie
2024-02-12,Charger,41.0,79,North,Alice
2024-02-14,Headphones,33.0,19,East,Bob
2024-02-16,Laptop,40.0,999,,Alice
2024-02-18,Laptop,39.0,499,West,Charlie
2024-02-20,Tablet,18.0,499,North,Alice
2024-02-22,Tablet,40.0,999,West,Bob
2024-02-24,Phone,1.0,499,North,Charlie
2024-02-26,Headphones,11.0,999,North,
2024-02-28,Headphones,28.0,19,North,Bob
2024-03-01,Tablet,25.0,19,,Charlie
2024-03-03,Headphones,23.0,999,South,Charlie
2024-03-05,Headphones,31.0,19,West,
2024-03-07,Laptop,30.0,19,,Alice
2024-03-09,Tablet,42.0,19,,Alice
2024-03-11,Charger,35.0,299,,Bob
2024-03-13,Tablet,7.0,79,,
2024-03-15,Charger,16.0,499,,Alice
2024-03-17,Laptop,26.0,299,East,
2024-03-19,Phone,48.0,19,West,Alice
2024-03-21,Headphones,,999,,Charlie
2024-03-23,Laptop,2.0,19,West,Alice
2024-03-25,Headphones,1.0,79,East,
2024-03-27,Phone,48.0,19,East,Charlie
2024-03-29,Phone,12.0,999,West,Charlie
2024-03-31,Laptop,5.0,79,North,Charlie
2024-04-02,Phone,37.0,19,South,
2024-04-04,Charger,,79,North,Bob
2024-04-06,Phone,9.0,499,North,Bob
2024-04-08,Headphones,,499,North,Bob
2024-04-10,Headphones,35.0,19,,
2024-04-12,Headphones,19.0,79,East,Charlie
2024-04-14,Headphones,48.0,999,North,Bob
2024-04-16,Charger,16.0,19,East,
2024-04-18,Tablet,3.0,499,West,Bob
2024-04-20,Laptop,20.0,499,South,Alice
2024-04-22,Headphones,24.0,19,West,Bob
2024-04-24,Phone,,79,West,Bob
2024-04-26,Headphones,24.0,499,,Charlie
2024-04-28,Phone,11.0,79,South,
2024-04-30,Phone,49.0,499,West,Charlie
2024-05-02,Headphones,8.0,499,West,Charlie
2024-05-04,Charger,36.0,299,South,Charlie
2024-05-06,Phone,38.0,499,South,Charlie
2024-05-08,Phone,40.0,999,West,Charlie
2024-05-10,Headphones,20.0,19,South,Bob
2024-05-12,Phone,35.0,19,West,Charlie
2024-05-14,Phone,48.0,79,West,Charlie
2024-05-16,Headphones,25.0,499,,
2024-05-18,Headphones,35.0,999,North,Alice
2024-05-20,Laptop,,79,West,Bob
2024-05-22,Charger,29.0,299,East,Bob
2024-05-24,Charger,18.0,79,North,Bob
2024-05-26,Phone,46.0,79,North,Charlie
2024-05-28,laptop,18.0,499,North,Charlie
2024-05-30,Phone,2.0,299,,Charlie
2024-06-01,Laptop,35.0,79,West,
2024-06-03,Headphones,16.0,999,,Alice
2024-06-05,Headphones,41.0,999,West,Charlie
2024-06-07,Headphones,36.0,19,,Alice
2024-06-09,Charger,33.0,299,,
2024-06-11,Laptop,4.0,299,East,Bob
2024-06-13,laptop,33.0,19,,Charlie
2024-06-15,Charger,14.0,79,South,Alice
2024-06-17,Laptop,21.0,299,East,Alice
